text,target
Hailstorm damages crops and property in the northern regions.,1
Hailstorm damages crops and property in the northern regions.,1
"Forest fires rage on, consuming thousands of acres of woodland.",1
Massive earthquake shakes the west coast causing widespread damage.,1
Massive earthquake shakes the west coast causing widespread damage.,1
Massive earthquake shakes the west coast causing widespread damage.,1
Severe drought in the southern parts causing crop failures.,1
Massive earthquake shakes the west coast causing widespread damage.,1
Multiple car pile-up on the highway due to dense fog.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Hailstorm damages crops and property in the northern regions.,1
Multiple car pile-up on the highway due to dense fog.,1
Train derailment near the station; emergency services are on the scene.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Breaking: Terrorist attack at the city square; many feared dead.,1
Severe drought in the southern parts causing crop failures.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Breaking: Terrorist attack at the city square; many feared dead.,1
Breaking: Terrorist attack at the city square; many feared dead.,1
Train derailment near the station; emergency services are on the scene.,1
Massive earthquake shakes the west coast causing widespread damage.,1
Severe drought in the southern parts causing crop failures.,1
Hailstorm damages crops and property in the northern regions.,1
Breaking: Terrorist attack at the city square; many feared dead.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Hailstorm damages crops and property in the northern regions.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
"Forest fires rage on, consuming thousands of acres of woodland.",1
"Forest fires rage on, consuming thousands of acres of woodland.",1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Severe drought in the southern parts causing crop failures.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Train derailment near the station; emergency services are on the scene.,1
Massive earthquake shakes the west coast causing widespread damage.,1
Train derailment near the station; emergency services are on the scene.,1
Severe drought in the southern parts causing crop failures.,1
"Forest fires rage on, consuming thousands of acres of woodland.",1
Gas leak reported in the downtown area; evacuation underway.,1
Hailstorm damages crops and property in the northern regions.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Train derailment near the station; emergency services are on the scene.,1
Severe drought in the southern parts causing crop failures.,1
Massive earthquake shakes the west coast causing widespread damage.,1
Gas leak reported in the downtown area; evacuation underway.,1
Breaking: Terrorist attack at the city square; many feared dead.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Gas leak reported in the downtown area; evacuation underway.,1
Hailstorm damages crops and property in the northern regions.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Severe drought in the southern parts causing crop failures.,1
Gas leak reported in the downtown area; evacuation underway.,1
Multiple car pile-up on the highway due to dense fog.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Hailstorm damages crops and property in the northern regions.,1
"Forest fires rage on, consuming thousands of acres of woodland.",1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Multiple car pile-up on the highway due to dense fog.,1
Severe drought in the southern parts causing crop failures.,1
Gas leak reported in the downtown area; evacuation underway.,1
"Forest fires rage on, consuming thousands of acres of woodland.",1
Massive earthquake shakes the west coast causing widespread damage.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
"Forest fires rage on, consuming thousands of acres of woodland.",1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Gas leak reported in the downtown area; evacuation underway.,1
Breaking: Terrorist attack at the city square; many feared dead.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Severe drought in the southern parts causing crop failures.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Hailstorm damages crops and property in the northern regions.,1
Gas leak reported in the downtown area; evacuation underway.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Gas leak reported in the downtown area; evacuation underway.,1
Train derailment near the station; emergency services are on the scene.,1
Severe drought in the southern parts causing crop failures.,1
Massive earthquake shakes the west coast causing widespread damage.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Breaking: Terrorist attack at the city square; many feared dead.,1
"Forest fires rage on, consuming thousands of acres of woodland.",1
Breaking: Terrorist attack at the city square; many feared dead.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Gas leak reported in the downtown area; evacuation underway.,1
Severe drought in the southern parts causing crop failures.,1
Breaking: Terrorist attack at the city square; many feared dead.,1
Train derailment near the station; emergency services are on the scene.,1
Hailstorm damages crops and property in the northern regions.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
"Forest fires rage on, consuming thousands of acres of woodland.",1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Hailstorm damages crops and property in the northern regions.,1
Train derailment near the station; emergency services are on the scene.,1
Train derailment near the station; emergency services are on the scene.,1
Gas leak reported in the downtown area; evacuation underway.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Multiple car pile-up on the highway due to dense fog.,1
Train derailment near the station; emergency services are on the scene.,1
"Forest fires rage on, consuming thousands of acres of woodland.",1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Multiple car pile-up on the highway due to dense fog.,1
Breaking: Terrorist attack at the city square; many feared dead.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Multiple car pile-up on the highway due to dense fog.,1
Multiple car pile-up on the highway due to dense fog.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
"Forest fires rage on, consuming thousands of acres of woodland.",1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Train derailment near the station; emergency services are on the scene.,1
Severe drought in the southern parts causing crop failures.,1
Huge tornado spotted near the town center; residents are urged to seek shelter immediately.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Breaking: Terrorist attack at the city square; many feared dead.,1
Train derailment near the station; emergency services are on the scene.,1
"Forest fires rage on, consuming thousands of acres of woodland.",1
Gas leak reported in the downtown area; evacuation underway.,1
Breaking: Terrorist attack at the city square; many feared dead.,1
Gas leak reported in the downtown area; evacuation underway.,1
Severe drought in the southern parts causing crop failures.,1
Gas leak reported in the downtown area; evacuation underway.,1
Flood warnings issued for the eastern regions; residents are advised to evacuate.,1
Massive earthquake shakes the west coast causing widespread damage.,1
Hailstorm damages crops and property in the northern regions.,1
Multiple car pile-up on the highway due to dense fog.,1
Train derailment near the station; emergency services are on the scene.,1
Hailstorm damages crops and property in the northern regions.,1
Gas leak reported in the downtown area; evacuation underway.,1
Severe drought in the southern parts causing crop failures.,1
Severe drought in the southern parts causing crop failures.,1
